message_id	ttr	speaker	lang	ltype
post12423392	0.83	Paulfromitaly	Italian	L1
post12423393	0.75	Paulfromitaly	Italian	L1
post12423394	0.73	Angel.Aura	Italian	L1
post12423396	0.81	Angel.Aura	Italian	L1
post12423397	0.79	Angel.Aura	Italian	L1
post12423399	0.72	Paulfromitaly	Italian	L1
post12423400	0.79	Paulfromitaly	Italian	L1
post18053049	0.64	francisgranada	Hungarian	L2
post18053070	0.66	symposium	Italian - Italy	L1
post18053164	0.69	Francesco94	Italian	L1
post18053074	0.65	francisgranada	Hungarian	L2
post18054359	0.77	francisgranada	Hungarian	L2
post17972608	0.6	mimimarie	Japanese	L2
post17973351	0.71	Francesco94	Italian	L1
post17982855	0.69	karmerkarmerruk	Italian	L1
post18054540	0.72	francisgranada	Hungarian	L2
post18040968	0.72	bearded	Italian	L1
post18040990	0.73	TheCrociato91	Italian - Northern Italy	L1
post18041748	0.79	bearded	Italian	L1
post18044194	0.71	Passante	italian	L1
post18046049	0.68	francisgranada	Hungarian	L2
post18046425	0.83	Passante	italian	L1
post18046480	0.71	Francesco94	Italian	L1
post18046530	0.75	Francesco94	Italian	L1
post18046833	0.74	bearded	Italian	L1
post18047498	0.75	francisgranada	Hungarian	L2
post17998888	0.76	mimimarie	Japanese	L2
post18000036	0.85	francisgranada	Hungarian	L2
post18047534	0.82	TheCrociato91	Italian - Northern Italy	L1
post18048955	0.74	Passante	italian	L1
post18051038	0.73	bearded	Italian	L1
post18052115	0.76	bearded	Italian	L1
post18052896	0.62	Francesco94	Italian	L1
post16077070	0.71	Necsus	Italian (Italy)	L1
post18052922	0.65	Francesco94	Italian	L1
post18047203	0.73	Passante	italian	L1
post18047332	0.75	Hade	Poland - Polish	L2
post18046119	0.85	Francesco94	Italian	L1
post3420354	0.7	xeneize	Italian	L1
post3422642	0.75	SunDraw	Veneto (Italia)	L1
post3424232	0.8	xeneize	Italian	L1
post15523321	0.73	emilysound	Italiano - Italia	L1
post15785080	0.8	juliao	Tedesco - Germania	L2
post18007220	0.75	LETUSHUZI	汉语	L2
post18040901	0.78	Passante	italian	L1
post18036436	0.73	bearded	Italian	L1
post18038476	0.82	bearded	Italian	L1
post18038254	0.7	elenasusu	chinese	L2
post17989380	0.78	eduarodi	castellano de Argentina	L2
post17989399	0.77	AmoImparare	Italiano	L1
post18033780	0.65	Passante	italian	L1
post18034434	0.77	symposium	Italian - Italy	L1
post18035471	0.74	symposium	Italian - Italy	L1
post18017468	0.77	bearded	Italian	L1
